08-Nov-2023 10:33:04.937 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
08-Nov-2023 10:33:04.937 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
08-Nov-2023 10:33:04.943 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 10:33:04.943 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 10:43:18.644 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 10:43:18.644 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 10:54:31.728 INFO [http-nio-8080-exec-25] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 10:54:31.728 INFO [http-nio-8080-exec-25] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 10:58:34.253 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 10:58:34.253 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 11:00:01.495 INFO [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 11:00:01.495 INFO [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 12:54:37.604 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 12:54:37.604 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 12:56:28.274 INFO [http-nio-8080-exec-64] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 12:56:28.274 INFO [http-nio-8080-exec-64] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 13:12:00.976 INFO [http-nio-8080-exec-71] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 13:12:00.976 INFO [http-nio-8080-exec-71] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 13:14:01.031 INFO [http-nio-8080-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 13:14:01.031 INFO [http-nio-8080-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 13:15:00.012 INFO [http-nio-8080-exec-88] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 13:15:00.012 INFO [http-nio-8080-exec-88] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 13:15:39.380 INFO [http-nio-8080-exec-91] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 13:15:39.380 INFO [http-nio-8080-exec-91] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
08-Nov-2023 13:16:32.304 INFO [http-nio-8080-exec-82] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
08-Nov-2023 13:16:32.304 INFO [http-nio-8080-exec-82] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
